0:	6.497452886833E-06
1:	1.525270181446E-05
2:	2.577641680546E-05
3:	3.365513839526E-05
4:	3.821892460110E-05
5:	4.425815859577E-05
6:	5.300363409333E-05
7:	6.158697942737E-05
8:	6.812023639213E-05
9:	7.283868762897E-05
10:	8.000672823982E-05
11:	8.738251199247E-05
12:	9.419267735211E-05
13:	1.007108512567E-04
14:	1.070000726031E-04
15:	1.139809246524E-04
16:	1.208624453284E-04
17:	1.271343644476E-04
18:	1.338457950624E-04
19:	1.404323993484E-04
20:	1.473501615692E-04
21:	1.547754072817E-04
22:	1.619315153221E-04
23:	1.697536790743E-04
24:	1.776781573426E-04
25:	1.855421869550E-04
26:	1.932586892508E-04
27:	2.008810552070E-04
28:	2.088810142595E-04
29:	2.169016952394E-04
30:	2.249065873912E-04
31:	2.329696581000E-04
32:	2.411139139440E-04
33:	2.493970969226E-04
34:	2.576817933004E-04
35:	2.659744932316E-04
36:	2.744037774391E-04
37:	2.828520955518E-04
38:	2.914094657172E-04
39:	2.999960852321E-04
40:	3.086100914516E-04
41:	3.173350996803E-04
42:	3.260813828092E-04
43:	3.349081671331E-04
44:	3.437941195443E-04
45:	3.527325752657E-04
46:	3.617409092840E-04
47:	3.709617012646E-04
48:	3.803148283623E-04
49:	3.897367860191E-04
50:	3.992090059910E-04
51:	4.087743000127E-04
52:	4.184012941550E-04
53:	4.280905413907E-04
54:	4.378542362247E-04
55:	4.476767790038E-04
56:	4.575699567795E-04
57:	4.675188974943E-04
58:	4.775317211170E-04
59:	4.876149469055E-04
60:	4.977576318197E-04
61:	5.079712718725E-04
62:	5.182503955439E-04
63:	5.286002997309E-04
64:	5.390203441493E-04
65:	5.495065706782E-04
66:	5.600648582913E-04
67:	5.706957890652E-04
68:	5.813964526169E-04
69:	5.921711563133E-04
70:	6.030171061866E-04
71:	6.139356992207E-04
72:	6.249283323996E-04
73:	6.359966937453E-04
74:	6.471397355199E-04
75:	6.583877257071E-04
76:	6.697221542709E-04
77:	6.811341736466E-04
78:	6.926208152436E-04
79:	7.041841745377E-04
80:	7.158236112446E-04
81:	7.275401731022E-04
82:	7.393284467980E-04
83:	7.511925650761E-04
84:	7.631331100129E-04
85:	7.751476950943E-04
86:	7.872357964516E-04
87:	7.994003244676E-04
88:	8.116378448904E-04
89:	8.239495218731E-04
90:	8.363366941921E-04
91:	8.487976156175E-04
92:	8.613294339739E-04
93:	8.739391341805E-04
94:	8.866195566952E-04
95:	8.993732626550E-04
96:	9.122026385739E-04
97:	9.251045994461E-04
98:	9.380805422552E-04
99:	9.511301759630E-04
100:	9.642554796301E-04
101:	9.774547070265E-04
102:	9.907284984365E-04
103:	1.004079123959E-03
104:	1.017504604533E-03
105:	1.031006569974E-03
106:	1.044582342729E-03
107:	1.058235182427E-03
108:	1.071962411515E-03
109:	1.085766823962E-03
110:	1.099644927308E-03
111:	1.113599981181E-03
112:	1.127629075199E-03
113:	1.141733839177E-03
114:	1.155912410468E-03
115:	1.170164090581E-03
116:	1.184489694424E-03
117:	1.198887941428E-03
118:	1.213358133100E-03
119:	1.227901782840E-03
120:	1.242515281774E-03
121:	1.257200259715E-03
122:	1.271955086850E-03
123:	1.286781043746E-03
124:	1.301674288698E-03
125:	1.316635170951E-03
126:	1.331666368060E-03
127:	1.346763805486E-03
128:	1.361930160783E-03
129:	1.377158449031E-03
130:	1.392455305904E-03
131:	1.407814561389E-03
132:	1.423239358701E-03
