0:	3.957686424255E+00
1:	5.500474452972E+00
2:	9.297644615173E+00
3:	8.510218620300E+00
4:	9.791285514832E+00
5:	9.683234214783E+00
6:	1.222204685211E+01
7:	1.347303771973E+01
8:	1.484763813019E+01
9:	1.668651199341E+01
10:	1.806961250305E+01
11:	2.086327743530E+01
12:	2.443072319031E+01
13:	2.465414047241E+01
14:	2.708073616028E+01
15:	3.001858329773E+01
16:	3.050326919556E+01
17:	3.229115676880E+01
18:	3.374719619751E+01
19:	3.634512710571E+01
20:	3.780762863159E+01
21:	4.045841217041E+01
22:	4.328742980957E+01
23:	4.201740264893E+01
24:	4.564336013794E+01
25:	4.828430557251E+01
26:	5.159207153320E+01
27:	5.299392318726E+01
28:	5.531196594238E+01
29:	5.869826889038E+01
30:	6.057751846313E+01
31:	6.257104873657E+01
32:	6.566069793701E+01
33:	6.555017089844E+01
34:	6.704659271240E+01
35:	6.795224761963E+01
36:	6.876966857910E+01
37:	6.909557342529E+01
38:	6.932007598877E+01
39:	6.842406463623E+01
40:	6.741534423828E+01
41:	6.517746734619E+01
42:	6.520009613037E+01
43:	6.514813995361E+01
44:	6.487565612793E+01
45:	6.504063415527E+01
46:	6.384652709961E+01
47:	6.365287780762E+01
48:	6.186062240601E+01
49:	6.136990737915E+01
50:	5.969650650024E+01
51:	5.822470474243E+01
52:	5.669722366333E+01
53:	5.502967071533E+01
54:	5.583152008057E+01
55:	5.540784454346E+01
56:	5.417130661011E+01
57:	5.467657089233E+01
58:	5.749170303345E+01
59:	5.876118850708E+01
60:	6.038379669189E+01
61:	6.430805206299E+01
62:	6.608975219727E+01
63:	6.812629699707E+01
64:	7.053190612793E+01
65:	7.253197479248E+01
66:	7.271749114990E+01
67:	7.422041320801E+01
68:	7.373609161377E+01
69:	7.583655548096E+01
70:	7.607444763184E+01
71:	7.576024627686E+01
72:	7.430641174316E+01
73:	7.373834228516E+01
74:	7.277806854248E+01
75:	7.241210174561E+01
76:	7.340229034424E+01
77:	7.389289093018E+01
78:	7.482723236084E+01
79:	7.649413299561E+01
80:	7.752378845215E+01
81:	7.766367340088E+01
82:	8.034352874756E+01
83:	8.280051422119E+01
84:	8.329965972900E+01
85:	8.668331146240E+01
86:	8.839086914062E+01
87:	9.092861938477E+01
88:	9.197457885742E+01
89:	9.313672637939E+01
90:	9.285572814941E+01
91:	9.271283721924E+01
92:	9.254702758789E+01
93:	9.233954620361E+01
94:	9.305432128906E+01
95:	9.248533630371E+01
96:	9.050252532959E+01
97:	9.065797424316E+01
98:	8.948349761963E+01
99:	8.802114105225E+01
100:	8.864025878906E+01
101:	8.623178100586E+01
102:	8.622473144531E+01
103:	8.463893890381E+01
104:	8.263381195068E+01
105:	8.223479461670E+01
106:	8.275169372559E+01
107:	7.946485137939E+01
108:	7.622470855713E+01
109:	7.460032653809E+01
110:	7.406892395020E+01
111:	7.481783294678E+01
112:	7.322751617432E+01
113:	7.340470886230E+01
114:	7.511870574951E+01
115:	7.487674713135E+01
116:	7.480325317383E+01
117:	7.754844665527E+01
118:	8.102709960938E+01
119:	8.209667205811E+01
120:	8.456229400635E+01
121:	8.634114074707E+01
122:	8.937780761719E+01
123:	9.010295104980E+01
124:	9.365248107910E+01
125:	9.511808013916E+01
126:	9.619168090820E+01
127:	9.782974243164E+01
128:	9.898220062256E+01
129:	1.006906967163E+02
130:	1.027646331787E+02
131:	1.042146911621E+02
132:	1.029259643555E+02
133:	1.044007644653E+02
134:	1.040872421265E+02
135:	1.050177230835E+02
136:	1.048985061646E+02
137:	1.039879989624E+02
138:	1.018252105713E+02
139:	1.008632659912E+02
140:	9.992769622803E+01
141:	9.823342895508E+01
142:	9.735113525391E+01
143:	9.596318054199E+01
144:	9.415128326416E+01
145:	9.295948791504E+01
146:	9.289032745361E+01
147:	9.058887481689E+01
148:	8.959998321533E+01
149:	8.823355865479E+01
150:	8.813417053223E+01
151:	8.985242462158E+01
152:	8.803788757324E+01
153:	8.783711242676E+01
154:	8.753387451172E+01
155:	8.802143859863E+01
156:	9.217144775391E+01
157:	9.157710266113E+01
158:	9.446739196777E+01
159:	9.322173309326E+01
160:	9.596434020996E+01
161:	9.665686035156E+01
162:	9.778409576416E+01
163:	9.755520629883E+01
164:	9.694342041016E+01
165:	9.800888061523E+01
166:	9.891395568848E+01
167:	1.008431777954E+02
168:	1.022021179199E+02
169:	1.016838226318E+02
170:	1.031523361206E+02
171:	1.029337921143E+02
172:	1.045195999146E+02
173:	1.062829055786E+02
174:	1.058214035034E+02
175:	1.072820358276E+02
176:	1.080264205933E+02
177:	1.090314025879E+02
178:	1.097945785522E+02
179:	1.104734191895E+02
180:	1.115123214722E+02
181:	1.113608398438E+02
182:	1.118902435303E+02
183:	1.122537689209E+02
184:	1.133318634033E+02
185:	1.122232589722E+02
186:	1.117891464233E+02
187:	1.106362304688E+02
188:	1.116746368408E+02
189:	1.089813613892E+02
190:	1.091896667480E+02
191:	1.079074172974E+02
192:	1.065567245483E+02
193:	1.053715744019E+02
194:	1.078699874878E+02
195:	1.058326492310E+02
196:	1.052443695068E+02
197:	1.033111648560E+02
198:	1.035402832031E+02
199:	1.035659027100E+02
200:	1.034176940918E+02
201:	1.036447753906E+02
202:	1.032228927612E+02
203:	1.022825927734E+02
204:	1.038023452759E+02
205:	1.024830551147E+02
206:	1.035180282593E+02
207:	1.027374038696E+02
208:	1.037798233032E+02
209:	1.045330886841E+02
210:	1.063310089111E+02
211:	1.078316345215E+02
212:	1.085978012085E+02
213:	1.097365112305E+02
214:	1.115783386230E+02
